consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,667","290,08",0.03,1339,1406,199,0.003,1277.30
"-1,665","103,15",0.02,1202,1256,192,0.000,985.20
"-1,637","102,74",0.02,1115,1085,190,0.001,752.59
"-1,626","46,71",0.02,1170,943,188,0.002,675.13
"-1,63","49,47",0.00,1207,859,186,0.002,621.12
"-1,663","82,87",0.02,1229,898,193,0.000,656.12
"-1,704","261,6",0.02,1292,1011,195,0.001,793.83
"-1,739","401,11",0.03,1393,1099,205,0.000,957.65
"-1,762","385,75",0.00,1395,1193,201,0.000,1027.42
"-1,806","220,43",0.01,1468,1269,201,0.004,1131.74
"-1,852","289,36",0.01,1602,1517,207,0.044,1474.11
"-1,857","197,59",0.03,1651,1646,205,0.182,1645.66
"-1,832","197,89",0.03,1630,1734,205,0.080,1736.77
"-1,832","166,04",0.01,1669,1844,206,0.023,1886.54
"-1,884","219,92",0.01,1702,1914,214,0.004,1945.06
"-1,944","334,84",0.01,1855,2010,217,0.000,2137.48
"-1,988","300,53",0.00,2162,2048,219,0.000,2441.98
"-1,999","309,23",0.00,2336,2004,221,0.001,2561.97
"-1,971","308,21",0.00,2223,2014,221,0.000,2486.81
"-1,94","302,98",0.00,1952,2018,216,0.001,2246.02
"-1,901","378,07",0.01,1544,1976,212,0.001,1830.34
"-1,882","339,45",0.01,1344,1970,202,0.000,1633.28
"-1,855","221,35",0.01,1309,1977,199,0.001,1629.68
"-1,815","41,38",0.02,1111,1960,202,0.000,1457.35
"-1,778","98,98",0.01,1056,1944,194,0.000,1414.24
"-1,762","64,49",0.01,940,1940,191,0.002,1309.11
"-1,76","44,39",0.01,932,1962,190,0.003,1324.62
"-1,787","89,9",0.02,934,1975,199,0.001,1321.52
"-1,81","231,33",0.03,1155,1963,209,0.001,1516.67
"-1,862","441,64",0.01,1795,1874,216,0.001,2022.79
"-1,961","455,52",0.01,2591,1867,227,0.002,2723.75
"-2,058","506,54",0.02,3377,1781,228,0.003,3326.97
"-2,124","509,81",0.01,3699,1818,228,0.002,3621.35
"-2,137","517,77",0.01,3959,1713,219,0.016,3754.63
"-2,152","510,11",0.00,4146,1624,217,0.116,3835.60
"-2,151","512,77",0.00,4206,1581,218,0.213,3854.71
"-2,127","509,6",0.00,4487,1499,215,0.240,4074.04
"-2,117","509,91",0.00,4695,1469,230,0.103,4276.92
"-2,138","519,7",0.00,4890,1336,214,0.012,4301.93
"-2,206","534,5",0.00,5072,1404,177,0.002,4446.38
"-2,199","557,87",0.00,5109,1406,171,0.003,4487.54
"-2,182","567,15",0.00,5434,1231,171,0.003,4653.33
"-2,118","565,22",0.00,5302,1110,165,0.008,4459.49
"-2,077","560,22",0.00,5234,1040,165,0.007,4361.66
"-2,027","549,6",0.00,5175,828,156,0.004,4131.62
"-1,983","537,87",0.01,4914,602,153,0.005,3686.79
"-1,941","531,54",0.00,4623,404,154,0.002,3239.72
"-1,9","517,97",0.01,3966,304,153,0.001,2522.48
"-1,868","508,48",0.01,3488,241,148,0.001,2009.05
"-1,856","499,19",0.01,3129,190,147,0.001,1609.46
"-1,84","493,26",0.02,2965,154,149,0.000,1427.32
"-1,86","494,18",0.02,2955,132,145,0.000,1372.17
"-1,897","498,17",0.04,3132,167,145,0.000,1547.87
"-1,965","506,54",0.02,3651,209,150,0.000,2045.04
"-2,046","522,47",0.03,4765,250,157,0.000,3126.49
"-2,123","550,44",0.01,5580,303,160,0.000,3920.48
"-2,172","561,16",0.00,6008,439,181,0.000,4454.45
"-2,164","554,12",0.00,6008,785,160,0.005,4788.84
"-2,174","549,22",0.00,5833,1203,156,0.008,5016.91
"-2,195","543,7",0.00,5851,1543,168,0.015,5367.25
"-2,144","542,68",0.00,5538,1595,168,0.021,5157.62
"-2,115","537,17",0.00,5381,1706,171,0.016,5142.54
"-2,137","537,37",0.00,5304,1772,156,0.002,5094.36
"-2,164","537,99",0.00,5334,1869,153,0.000,5191.32
"-2,155","539,62",0.01,5368,1887,157,0.001,5257.14
"-2,117","536,86",0.00,5353,1971,157,0.001,5363.69
"-2,05","533,29",0.00,5226,2009,149,0.003,5334.46
"-1,99","534,31",0.01,5183,2020,151,0.000,5363.90
"-1,921","544,62",0.01,5198,2032,151,0.001,5459.82
"-1,865","552,08",0.01,5128,2003,145,0.001,5411.91
"-1,802","531,86",0.01,4784,2024,140,0.003,5146.68
