date,price,load,nuclear,wind_onshore,wind_offshore,solar,gas,hydro_water_reservoir,solar_load_factor,wind_onshore_load_factor,wind_offshore_load_factor,nuclear_load_factor,gas_load_factor
01.01.2019 00:00 - 01.01.2019 01:00,51.0,62.176,55.627,1.622,0.0,0.0,2.722,1.054,0.0,0.11917707567964732,0.0,0.8811500079201647,0.22774431057563588
01.01.2019 01:00 - 01.01.2019 02:00,46.27,60.301,55.113,1.637,0.0,0.0,2.526,0.74,0.0,0.12027920646583394,0.0,0.8730080785680342,0.2113453815261044
01.01.2019 02:00 - 01.01.2019 03:00,39.78,58.54,54.78,1.567,0.0,0.0,2.425,0.463,0.0,0.11513592946362969,0.0,0.8677332488515761,0.20289491298527443
01.01.2019 03:00 - 01.01.2019 04:00,27.87,55.144,53.162,1.556,0.0,0.0,2.435,0.145,0.0,0.11432770022042615,0.0,0.8421035957547917,0.20373159303882196
01.01.2019 04:00 - 01.01.2019 05:00,23.21,52.978,50.137,1.595,0.0,0.0,2.44,0.097,0.0,0.11719324026451139,0.0,0.7941865990812609,0.20414993306559573
01.01.2019 05:00 - 01.01.2019 06:00,22.64,52.584,48.465,1.719,0.0,0.0,2.434,0.119,0.0,0.1263041880969875,0.0,0.7677015681926184,0.2036479250334672
01.01.2019 06:00 - 01.01.2019 07:00,20.9,52.881,48.269,1.794,0.0,0.0,2.436,0.159,0.0,0.13181484202792065,0.0,0.7645968636147632,0.20381526104417672
01.01.2019 07:00 - 01.01.2019 08:00,26.54,53.173,47.783,1.78,0.0,0.0,2.771,0.103,0.0,0.1307861866274798,0.0,0.7568984634880406,0.23184404283801874
01.01.2019 08:00 - 01.01.2019 09:00,25.0,52.929,48.379,1.73,0.0,0.132,2.82,0.24,0.01612115290669272,0.12711241734019105,0.0,0.766339299857437,0.2359437751004016
01.01.2019 09:00 - 01.01.2019 10:00,25.0,53.83,49.885,1.67,0.0,0.503,2.825,0.541,0.061431362970200284,0.12270389419544453,0.0,0.7901948360525899,0.23636211512717537
01.01.2019 10:00 - 01.01.2019 11:00,34.64,55.677,50.895,1.589,0.0,1.067,2.825,0.568,0.1303126526624328,0.11675238795003674,0.0,0.8061935688262316,0.23636211512717537
01.01.2019 11:00 - 01.01.2019 12:00,41.03,57.722,51.689,1.602,0.0,1.456,2.843,0.932,0.1778212017586712,0.11770756796473182,0.0,0.8187707904324409,0.2378681392235609
01.01.2019 12:00 - 01.01.2019 13:00,48.97,60.387,52.526,1.725,0.0,1.628,2.83,1.393,0.19882755251587686,0.12674504041146217,0.0,0.8320291462062411,0.23678045515394913
01.01.2019 13:00 - 01.01.2019 14:00,41.06,60.029,52.413,1.971,0.0,1.747,2.807,0.835,0.21336101612115288,0.14481998530492285,0.0,0.8302391889751307,0.23485609103078983
01.01.2019 14:00 - 01.01.2019 15:00,37.95,57.977,52.719,2.096,0.0,1.474,2.824,0.82,0.18001954079140203,0.15400440852314476,0.0,0.8350863297956598,0.2362784471218206
01.01.2019 15:00 - 01.01.2019 16:00,33.42,56.719,52.859,2.108,0.0,0.904,2.838,0.386,0.11040547142159256,0.15488611315209405,0.0,0.8373039759226992,0.23744979919678716
01.01.2019 16:00 - 01.01.2019 17:00,39.8,56.642,53.311,2.104,0.0,0.324,2.821,0.541,0.03957010258915486,0.15459221160911094,0.0,0.8444638048471408,0.23602744310575635
01.01.2019 17:00 - 01.01.2019 18:00,44.29,59.439,54.453,2.185,0.0,0.107,2.75,0.688,0.013067904250122128,0.16054371785451874,0.0,0.8625534611119912,0.23008701472556894
01.01.2019 18:00 - 01.01.2019 19:00,62.65,62.69,55.312,2.444,0.0,0.0,3.101,1.251,0.0,0.1795738427626745,0.0,0.876160304134326,0.259454484605087
01.01.2019 19:00 - 01.01.2019 20:00,65.56,63.741,55.6,2.596,0.0,0.0,3.209,1.273,0.0,0.19074210139603234,0.0,0.8807223190242357,0.2684906291834003
01.01.2019 20:00 - 01.01.2019 21:00,61.27,62.36,55.649,2.772,0.0,0.0,3.111,1.278,0.0,0.20367376928728875,0.0,0.8814984951686995,0.26029116465863456
01.01.2019 21:00 - 01.01.2019 22:00,57.41,60.16,55.435,3.018,0.0,0.0,2.898,1.215,0.0,0.22174871418074946,0.0,0.878108664660225,0.24246987951807228
01.01.2019 22:00 - 01.01.2019 23:00,58.65,60.983,55.303,3.014,0.0,0.0,3.164,1.246,0.0,0.22145481263776634,0.0,0.8760177411690163,0.26472556894243643
01.01.2019 23:00 - 02.01.2019 00:00,54.91,61.763,55.107,3.011,0.0,0.0,3.167,0.82,0.0,0.221234386480529,0.0,0.8729130365911612,0.2649765729585007
02.01.2019 00:00 - 02.01.2019 01:00,53.11,59.306,54.788,3.356,0.0,0.0,3.177,0.65,0.0,0.24658339456282147,0.0,0.8678599714874069,0.26581325301204817
02.01.2019 01:00 - 02.01.2019 02:00,45.87,56.993,54.287,3.417,0.0,0.0,2.886,0.538,0.0,0.2510653930933137,0.0,0.8599239664185016,0.24146586345381527
02.01.2019 02:00 - 02.01.2019 03:00,39.15,55.713,53.57,3.359,0.0,0.0,2.887,0.597,0.0,0.24680382072005877,0.0,0.8485664501821638,0.24154953145917002
02.01.2019 03:00 - 02.01.2019 04:00,25.84,53.472,51.857,3.281,0.0,0.0,2.843,0.576,0.0,0.24107274063188833,0.0,0.8214319657848883,0.2378681392235609
02.01.2019 04:00 - 02.01.2019 05:00,28.36,53.103,51.689,3.147,0.0,0.0,2.903,0.425,0.0,0.23122703894195445,0.0,0.8187707904324409,0.24288821954484605
02.01.2019 05:00 - 02.01.2019 06:00,30.72,55.361,53.302,3.146,0.0,0.0,3.205,0.542,0.0,0.23115356355620867,0.0,0.8443212418818311,0.26815595716198126
02.01.2019 06:00 - 02.01.2019 07:00,51.1,59.308,54.784,3.072,0.0,0.0,4.068,0.918,0.0,0.22571638501102131,0.0,0.8677966101694915,0.34036144578313254
02.01.2019 07:00 - 02.01.2019 08:00,58.37,63.485,55.513,3.138,0.0,0.0,5.43,1.005,0.0,0.23056576047024246,0.0,0.8793442103595754,0.4543172690763052
02.01.2019 08:00 - 02.01.2019 09:00,56.82,66.769,55.883,3.179,0.0,0.141,6.582,0.966,0.017220322423058133,0.23357825128581924,0.0,0.8852051322667511,0.5507028112449799
02.01.2019 09:00 - 02.01.2019 10:00,57.44,68.375,56.021,3.069,0.0,0.582,7.188,1.473,0.07107962872496336,0.22549595885378398,0.0,0.8873910977348329,0.6014056224899599
02.01.2019 10:00 - 02.01.2019 11:00,61.09,69.164,56.033,2.922,0.0,1.432,7.447,1.617,0.17489008304836343,0.21469507714915503,0.0,0.8875811816885791,0.6230756358768407
02.01.2019 11:00 - 02.01.2019 12:00,63.63,69.929,56.058,2.772,0.0,2.304,7.424,1.467,0.28138739618954567,0.20367376928728875,0.0,0.8879771899255504,0.6211512717536813
02.01.2019 12:00 - 02.01.2019 13:00,62.8,71.349,56.039,2.979,0.0,2.788,7.38,1.469,0.3404982901807523,0.21888317413666422,0.0,0.8876762236654523,0.6174698795180723
02.01.2019 13:00 - 02.01.2019 14:00,58.65,70.323,55.962,3.161,0.0,2.746,7.441,1.24,0.3353688324377137,0.2322556943423953,0.0,0.8864565182955806,0.6225736278447122
02.01.2019 14:00 - 02.01.2019 15:00,55.64,68.572,55.971,3.383,0.0,2.325,7.544,1.174,0.28395212506106493,0.24856722997795738,0.0,0.8865990812608903,0.6311914323962516
02.01.2019 15:00 - 02.01.2019 16:00,56.72,66.816,55.893,3.427,0.0,1.504,7.483,1.056,0.18368343917928673,0.25180014695077146,0.0,0.8853635355615397,0.6260876840696118
02.01.2019 16:00 - 02.01.2019 17:00,62.19,66.648,55.834,3.38,0.0,0.552,7.472,1.284,0.06741573033707865,0.24834680382072005,0.0,0.8844289561222873,0.6251673360107095
02.01.2019 17:00 - 02.01.2019 18:00,67.1,69.886,55.816,3.147,0.0,0.119,7.481,1.928,0.014533463605276012,0.23122703894195445,0.0,0.884143830191668,0.6259203480589023
02.01.2019 18:00 - 02.01.2019 19:00,69.3,73.776,55.971,3.263,0.0,0.0,7.55,2.245,0.0,0.23975018368846437,0.0,0.8865990812608903,0.6316934404283802
02.01.2019 19:00 - 02.01.2019 20:00,69.25,74.391,56.006,3.353,0.0,0.0,7.614,2.012,0.0,0.24636296840558414,0.0,0.8871534927926501,0.6370481927710844
02.01.2019 20:00 - 02.01.2019 21:00,63.43,71.105,55.966,3.252,0.0,0.0,7.501,1.776,0.0,0.23894195444526084,0.0,0.886519879613496,0.6275937081659974
02.01.2019 21:00 - 02.01.2019 22:00,55.64,68.056,55.98,3.198,0.0,0.0,7.395,1.524,0.0,0.23497428361498898,0.0,0.8867416442261999,0.6187248995983936
02.01.2019 22:00 - 02.01.2019 23:00,55.97,68.727,55.787,3.073,0.0,0.0,7.071,1.112,0.0,0.22578986039676707,0.0,0.8836844606367813,0.5916164658634538
02.01.2019 23:00 - 03.01.2019 00:00,54.31,69.839,55.826,3.077,0.0,0.0,7.236,1.096,0.0,0.2260837619397502,0.0,0.8843022334864565,0.6054216867469879
03.01.2019 00:00 - 03.01.2019 01:00,47.03,67.684,55.663,3.043,0.0,0.0,6.673,1.022,0.0,0.22358559882439383,0.0,0.8817202597814034,0.5583165997322623
03.01.2019 01:00 - 03.01.2019 02:00,45.93,65.391,55.467,2.952,0.0,0.0,6.016,0.841,0.0,0.21689933872152828,0.0,0.8786155552035483,0.5033467202141901
03.01.2019 02:00 - 03.01.2019 03:00,45.91,64.179,55.489,2.875,0.0,0.0,5.986,0.449,0.0,0.2112417340191036,0.0,0.878964042452083,0.5008366800535475
