date,price,load,nuclear,wind_onshore,wind_offshore,solar,gas,nuclear_load_factor,wind_onshore_load_factor,wind_offshore_load_factor,solar_load_factor,gas_load_factor
01.01.2019 00:00 - 01.01.2019 01:00,28.32,43.52675,9.0015,19.9955,3.1365,0.0,3.27325,0.9459331651954603,0.37765836890416654,0.49061473486625995,0.0,0.1031107260985982
01.01.2019 01:00 - 01.01.2019 02:00,10.07,41.8005,8.53525,22.0365,2.868,0.0,2.96725,0.8969367381252626,0.41620707891058817,0.44861567339277336,0.0,0.09347141282091667
01.01.2019 02:00 - 01.01.2019 03:00,-4.08,40.1125,7.954,22.74825,2.4595,0.0,2.72025,0.8358554014291719,0.4296500207758849,0.38471765994055995,0.0,0.08569065994644826
01.01.2019 03:00 - 01.01.2019 04:00,-9.91,39.49025,7.22175,23.87025,2.69775,0.0,2.65325,0.7589060529634301,0.45084142333698485,0.42198498357578607,0.0,0.08358009135296897
01.01.2019 04:00 - 01.01.2019 05:00,-7.41,39.2715,7.12,25.9215,2.57825,0.0,2.706,0.748213535098781,0.48958372681600126,0.40329266385108714,0.0,0.08524177035753662
01.01.2019 05:00 - 01.01.2019 06:00,-12.55,38.8185,7.06075,27.429,2.37875,0.0,2.72,0.7419871794871794,0.5180561326634684,0.37208665728140156,0.0,0.08568278469050244
01.01.2019 06:00 - 01.01.2019 07:00,-17.25,38.16775,7.03525,29.08625,1.93025,0.0,2.71425,0.7393074821353509,0.5493568919276244,0.3019318004066948,0.0,0.08550165380374862
01.01.2019 07:00 - 01.01.2019 08:00,-15.07,38.89625,7.173,29.90525,2.0445,0.0,2.8195,0.7537831021437579,0.5648254825671439,0.31980290943219153,0.0,0.0888171365569381
01.01.2019 08:00 - 01.01.2019 09:00,-4.93,39.6725,7.1555,30.4395,2.208,0.08425,2.858,0.7519440941572089,0.5749159521021419,0.3453777569216331,0.0018542973478595797,0.09002992597259411
01.01.2019 09:00 - 01.01.2019 10:00,-6.33,42.214,6.99,30.19975,2.075,0.58275,2.8645,0.7345523329129887,0.5703877535602312,0.3245737525418427,0.012826015186530208,0.09023468262718538
01.01.2019 10:00 - 01.01.2019 11:00,-4.93,44.9115,6.63975,31.311,2.15525,1.36875,2.88325,0.6977459016393442,0.5913761190647074,0.33712654465821995,0.03012545394519643,0.09082532682312175
01.01.2019 11:00 - 01.01.2019 12:00,0.45,47.87075,6.7085,32.99,2.72225,2.05325,2.97175,0.7049705758722152,0.6230876742341254,0.4258173001720632,0.04519093210080334,0.09361316742794142
01.01.2019 12:00 - 01.01.2019 13:00,0.12,49.16425,6.95425,33.37875,2.521,2.23175,2.9575,0.7307955023118957,0.6304300608166811,0.39433755670264353,0.049119621437218,0.09316427783902977
01.01.2019 13:00 - 01.01.2019 14:00,-0.02,48.885,6.95275,34.17175,2.283,2.0065,2.87475,0.7306378730559059,0.6454075850866922,0.3571093383388081,0.04416198965555188,0.09055756812096394
01.01.2019 14:00 - 01.01.2019 15:00,0.0,48.6495,7.0165,34.6235,2.2445,1.29725,2.87725,0.7373371164354771,0.6539398632569032,0.35108712654465823,0.028551777264223616,0.09063632068042211
01.01.2019 15:00 - 01.01.2019 16:00,-0.03,48.969,7.2705,34.72825,2.12025,0.445,2.88275,0.7640290037831021,0.6559182941109811,0.3316518066635383,0.009794211510949708,0.09080957631123011
01.01.2019 16:00 - 01.01.2019 17:00,1.97,50.81075,7.50625,35.73875,2.21625,0.02175,2.94175,0.7888030685161832,0.6750037774336117,0.3466682308775223,0.0004787058435127104,0.09266813671444321
01.01.2019 17:00 - 01.01.2019 18:00,9.06,53.96775,7.65425,36.28275,2.26675,0.0,2.9355,0.8043558217738546,0.6852783968571753,0.35456749569842017,0.0,0.09247125531579777
01.01.2019 18:00 - 01.01.2019 19:00,0.07,54.68825,7.499,36.32375,2.207,0.0,2.8745,0.7880411937788987,0.6860527707475541,0.3452213358360707,0.0,0.0905496928650181
01.01.2019 19:00 - 01.01.2019 20:00,-4.97,53.7775,7.0995,36.045,2.17325,0.0,2.861,0.7460592686002522,0.6807879726513807,0.3399421241983419,0.0,0.09012442904394394
01.01.2019 20:00 - 01.01.2019 21:00,-6.98,51.5465,6.5985,36.05525,2.14225,0.0,2.8695,0.6934110970996217,0.6809815661239754,0.33509307054590964,0.0,0.09039218774610175
01.01.2019 21:00 - 01.01.2019 22:00,-24.93,49.889,6.15175,35.9225,1.84525,0.0,2.78175,0.6464638503572929,0.678474294564273,0.28863600813389645,0.0,0.08762797290911956
01.01.2019 22:00 - 01.01.2019 23:00,-4.87,48.83975,6.07625,34.987,1.8395,0.0,2.814,0.6385298444724674,0.6608053488459941,0.287736586891913,0.0,0.0886438809261301
01.01.2019 23:00 - 02.01.2019 00:00,-28.93,46.10925,5.984,34.6985,1.766,0.0,2.7765,0.6288356452290879,0.6553564008612549,0.2762396371030815,0.0,0.08746259253425737
02.01.2019 00:00 - 02.01.2019 01:00,-33.57,44.0635,5.79525,32.932,1.669,0.0,2.719,0.609000630517024,0.6219922184867601,0.26106679180353515,0.0,0.08565128366671916
02.01.2019 01:00 - 02.01.2019 02:00,-45.92,42.3815,5.7355,31.614,2.03475,0.0,2.54675,0.6027217318200925,0.597098930986288,0.3182778038479587,0.0,0.0802252323200504
02.01.2019 02:00 - 02.01.2019 03:00,-48.29,41.87025,5.73575,30.448,2.659,0.0,2.547,0.6027480033627575,0.575076493030635,0.41592366651024554,0.0,0.08023310757599622
02.01.2019 03:00 - 02.01.2019 04:00,-44.99,42.37725,5.751,29.53275,3.05275,0.0,2.5815,0.6043505674653216,0.557790012465531,0.47751446895041455,0.0,0.08131989289651914
02.01.2019 04:00 - 02.01.2019 05:00,-48.93,44.0865,5.782,29.86475,3.095,0.0,2.58975,0.6076082387557797,0.5640605522607941,0.48412325981542315,0.0,0.08157977634273114
02.01.2019 05:00 - 02.01.2019 06:00,-29.91,47.096,6.09,30.777,3.2625,0.0,3.0325,0.6399747793190416,0.581290371321724,0.5103237916471141,0.0,0.09552685462277524
02.01.2019 06:00 - 02.01.2019 07:00,-0.01,52.73175,7.66125,31.2795,3.87725,0.0,3.874,0.8050914249684742,0.5907811732708798,0.6064836539965588,0.0,0.12203496613639943
02.01.2019 07:00 - 02.01.2019 08:00,37.43,58.126,8.58525,30.78175,4.54975,0.0,4.366,0.9021910466582598,0.5813800853699996,0.7116768340372283,0.0,0.1375334698377697
02.01.2019 08:00 - 02.01.2019 09:00,48.06,61.3215,8.84025,29.74975,4.338,0.10825,4.5455,0.9289880201765447,0.5618885279341216,0.6785546691694041,0.0023825244855287774,0.1431879036068672
02.01.2019 09:00 - 02.01.2019 10:00,50.74,62.99475,9.014,28.75475,4.235,1.47975,5.00525,0.9472467423287094,0.5430957957163903,0.6624432973564838,0.03256850445691647,0.15767049929122698
02.01.2019 10:00 - 02.01.2019 11:00,47.57,64.15125,9.013,28.24325,4.12625,4.14825,4.81825,0.9471416561580496,0.5334350092547123,0.6454325043015798,0.0913007593265104,0.15177980784375492
