"Production Type","2019 [MW]"
"Biomass","7782"
"Fossil Brown coal/Lignite","21205"
"Fossil Coal-derived gas","0"
"Fossil Gas","31745"
"Fossil Hard coal","25293"
"Fossil Oil","4356"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","42"
"Hydro Pumped Storage","9422"
"Hydro Run-of-river and poundage","4008"
"Hydro Water Reservoir","1309"
"Marine","0"
"Nuclear","9516"
"Other","N/A"
"Other renewable","445"
"Solar","45435"
"Waste","1707"
"Wind Offshore","6393"
"Wind Onshore","52946"
"Total Grand capacity","221604"
