consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import,load
1.667,290.08,2.9999999999999997e-05,1.339,1.406,0.199,3e-06,1.2772999999999999,2.9443
1.665,103.15,2e-05,1.202,1.256,0.192,0.0,0.9852000000000001,2.6502
1.637,102.74,2e-05,1.115,1.085,0.19,1e-06,0.75259,2.38959
1.626,46.71,2e-05,1.17,0.943,0.188,2e-06,0.67513,2.3011299999999997
1.63,49.47,0.0,1.207,0.859,0.186,2e-06,0.62112,2.25112
1.663,82.87,2e-05,1.229,0.898,0.193,0.0,0.65612,2.31912
1.704,261.6,2e-05,1.292,1.011,0.195,1e-06,0.79383,2.49783
1.739,401.11,2.9999999999999997e-05,1.393,1.099,0.205,0.0,0.95765,2.69665
1.762,385.75,0.0,1.395,1.193,0.201,0.0,1.02742,2.78942
1.806,220.43,1e-05,1.468,1.269,0.201,4e-06,1.13174,2.93774
1.852,289.36,1e-05,1.602,1.517,0.207,4.4e-05,1.4741099999999998,3.32611
1.857,197.59,2.9999999999999997e-05,1.651,1.646,0.205,0.000182,1.6456600000000001,3.50266
1.832,197.89,2.9999999999999997e-05,1.63,1.734,0.205,8e-05,1.73677,3.5687699999999998
1.832,166.04,1e-05,1.669,1.844,0.206,2.3e-05,1.8865399999999999,3.71854
1.884,219.92,1e-05,1.702,1.914,0.214,4e-06,1.94506,3.82906
1.944,334.84,1e-05,1.855,2.01,0.217,0.0,2.13748,4.08148
1.988,300.53,0.0,2.162,2.048,0.219,0.0,2.44198,4.4299800000000005
1.999,309.23,0.0,2.336,2.004,0.221,1e-06,2.5619699999999996,4.560969999999999
1.971,308.21,0.0,2.223,2.014,0.221,0.0,2.4868099999999997,4.45781
1.94,302.98,0.0,1.952,2.018,0.216,1e-06,2.24602,4.18602
1.901,378.07,1e-05,1.544,1.976,0.212,1e-06,1.8303399999999999,3.73134
1.882,339.45,1e-05,1.344,1.97,0.202,0.0,1.63328,3.5152799999999997
1.855,221.35,1e-05,1.309,1.977,0.199,1e-06,1.62968,3.48468
1.815,41.38,2e-05,1.111,1.96,0.202,0.0,1.45735,3.27235
1.778,98.98,1e-05,1.056,1.944,0.194,0.0,1.41424,3.19224
1.762,64.49,1e-05,0.94,1.94,0.191,2e-06,1.30911,3.07111
1.76,44.39,1e-05,0.932,1.962,0.19,3e-06,1.32462,3.08462
1.787,89.9,2e-05,0.934,1.975,0.199,1e-06,1.32152,3.10852
1.81,231.33,2.9999999999999997e-05,1.155,1.963,0.209,1e-06,1.51667,3.32667
1.862,441.64,1e-05,1.795,1.874,0.216,1e-06,2.02279,3.88479
1.961,455.52,1e-05,2.591,1.867,0.227,2e-06,2.72375,4.68475
2.058,506.54,2e-05,3.377,1.781,0.228,3e-06,3.3269699999999998,5.384969999999999
2.124,509.81,1e-05,3.699,1.818,0.228,2e-06,3.62135,5.74535
2.137,517.77,1e-05,3.959,1.713,0.219,1.6e-05,3.75463,5.89163
2.152,510.11,0.0,4.146,1.624,0.217,0.000116,3.8356,5.9876000000000005
2.151,512.77,0.0,4.206,1.581,0.218,0.000213,3.85471,6.00571
2.127,509.6,0.0,4.487,1.499,0.215,0.00023999999999999998,4.07404,6.20104
2.117,509.91,0.0,4.695,1.469,0.23,0.000103,4.2769200000000005,6.3939200000000005
2.138,519.7,0.0,4.89,1.336,0.214,1.2e-05,4.3019300000000005,6.43993
2.206,534.5,0.0,5.072,1.404,0.177,2e-06,4.44638,6.652380000000001
2.199,557.87,0.0,5.109,1.406,0.171,3e-06,4.48754,6.68654
2.182,567.15,0.0,5.434,1.231,0.171,3e-06,4.6533299999999995,6.835329999999999
2.118,565.22,0.0,5.302,1.11,0.165,8e-06,4.45949,6.577489999999999
2.077,560.22,0.0,5.234,1.04,0.165,7e-06,4.36166,6.43866
2.027,549.6,0.0,5.175,0.828,0.156,4e-06,4.13162,6.15862
1.983,537.87,1e-05,4.914,0.602,0.153,5e-06,3.68679,5.66979
1.941,531.54,0.0,4.623,0.404,0.154,2e-06,3.2397199999999997,5.18072
1.9,517.97,1e-05,3.966,0.304,0.153,1e-06,2.52248,4.42248
1.868,508.48,1e-05,3.488,0.241,0.148,1e-06,2.00905,3.8770499999999997
1.856,499.19,1e-05,3.129,0.19,0.147,1e-06,1.6094600000000001,3.46546
1.84,493.26,2e-05,2.965,0.154,0.149,0.0,1.42732,3.26732
1.86,494.18,2e-05,2.955,0.132,0.145,0.0,1.3721700000000001,3.23217
